Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:23:32 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:23:33 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00    15  python3
12:23:33 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00    15  |__python3
12:23:34 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00    15  python3
12:23:34 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00    15  |__python3
12:23:35 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00    15  python3
12:23:35 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00    15  |__python3
12:23:36 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:23:36 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:23:37 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00    13  python3
12:23:37 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00    13  |__python3
12:23:38 AM     0   2520004         -    1.00    0.00    0.00    0.00    1.00     0  python3
12:23:38 AM     0         -   2520004    1.00    0.00    0.00    0.00    1.00     0  |__python3
12:23:39 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00     0  python3
12:23:39 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00     0  |__python3
12:23:40 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00     4  python3
12:23:40 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00     4  |__python3
12:23:41 AM     0   2520004         -    1.00    1.00    0.00    1.00    2.00    14  python3
12:23:41 AM     0         -   2520004    1.00    1.00    0.00    1.00    2.00    14  |__python3
12:23:42 AM     0   2520004         -    0.00    0.00    0.00    1.00    0.00     3  python3
12:23:42 AM     0         -   2520004    0.00    0.00    0.00    1.00    0.00     3  |__python3
12:23:43 AM     0   2520004         -   12.00    8.00    0.00   26.00   20.00    15  python3
12:23:43 AM     0         -   2520004   12.00    8.00    0.00   26.00   20.00    15  |__python3
12:23:44 AM     0   2520004         -   18.00   13.00    0.00   29.00   31.00     2  python3
12:23:44 AM     0         -   2520004   18.00   13.00    0.00   29.00   31.00     2  |__python3
12:23:45 AM     0   2520004         -   18.00   13.00    0.00   28.00   31.00     4  python3
12:23:45 AM     0         -   2520004   18.00   13.00    0.00   28.00   31.00     4  |__python3
12:23:46 AM     0   2520004         -   19.00   15.00    0.00   23.00   34.00     5  python3
12:23:46 AM     0         -   2520004   19.00   15.00    0.00   23.00   34.00     5  |__python3
12:23:47 AM     0   2520004         -   21.00   14.00    0.00   23.00   35.00     4  python3
12:23:47 AM     0         -   2520004   21.00   14.00    0.00   23.00   35.00     4  |__python3
12:23:48 AM     0   2520004         -   21.00   14.00    0.00   25.00   35.00     1  python3
12:23:48 AM     0         -   2520004   21.00   14.00    0.00   25.00   35.00     1  |__python3
12:23:49 AM     0   2520004         -   19.00   14.00    0.00   24.00   33.00    10  python3
12:23:49 AM     0         -   2520004   19.00   14.00    0.00   24.00   33.00    10  |__python3
12:23:50 AM     0   2520004         -   21.00   18.00    0.00   20.00   39.00    11  python3
12:23:50 AM     0         -   2520004   21.00   18.00    0.00   20.00   39.00    11  |__python3
12:23:51 AM     0   2520004         -   18.00   13.00    0.00   27.00   31.00     0  python3
12:23:51 AM     0         -   2520004   18.00   13.00    0.00   27.00   31.00     0  |__python3
12:23:52 AM     0   2520004         -   22.00   20.00    0.00   18.00   42.00    14  python3
12:23:52 AM     0         -   2520004   22.00   20.00    0.00   18.00   42.00    14  |__python3
12:23:53 AM     0   2520004         -   18.00   12.00    0.00   26.00   30.00    13  python3
12:23:53 AM     0         -   2520004   18.00   12.00    0.00   26.00   30.00    13  |__python3
12:23:54 AM     0   2520004         -   25.00   21.00    0.00   15.00   46.00    12  python3
12:23:54 AM     0         -   2520004   25.00   21.00    0.00   15.00   46.00    12  |__python3
12:23:55 AM     0   2520004         -   18.00   12.00    0.00   25.00   30.00    11  python3
12:23:55 AM     0         -   2520004   18.00   12.00    0.00   25.00   30.00    11  |__python3
12:23:56 AM     0   2520004         -   16.00   13.00    0.00   23.00   29.00     2  python3
12:23:56 AM     0         -   2520004   16.00   13.00    0.00   23.00   29.00     2  |__python3
12:23:57 AM     0   2520004         -   29.00   22.00    0.00   14.00   51.00     4  python3
12:23:57 AM     0         -   2520004   29.00   22.00    0.00   14.00   51.00     4  |__python3
12:23:58 AM     0   2520004         -   14.00   10.00    0.00   22.00   24.00    10  python3
12:23:58 AM     0         -   2520004   14.00   10.00    0.00   22.00   24.00    10  |__python3
12:23:59 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:23:59 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00    10  |__python3
12:24:00 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:24:00 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00    10  |__python3
12:24:01 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:24:01 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00    10  |__python3
12:24:02 AM     0   2520004         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:24:02 AM     0         -   2520004    0.00    0.00    0.00    0.00    0.00    10  |__python3

Average:        0   2520004         -   10.36    7.76    0.00   12.33   18.13     -  python3
Average:        0         -   2520004   10.36    7.76    0.00   12.33   18.13     -  |__python3
