Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:03:07 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:03:08 AM     0   2486329         -    0.00    0.00    0.00    0.00    0.00    11  python3
12:03:08 AM     0         -   2486329    0.00    0.00    0.00    0.00    0.00    11  |__python3
12:03:09 AM     0   2486329         -    0.00    0.00    0.00    0.00    0.00    11  python3
12:03:09 AM     0         -   2486329    0.00    0.00    0.00    0.00    0.00    11  |__python3
12:03:10 AM     0   2486329         -    0.00    0.00    0.00    0.00    0.00    11  python3
12:03:10 AM     0         -   2486329    0.00    0.00    0.00    0.00    0.00    11  |__python3
12:03:11 AM     0   2486329         -    0.00    0.00    0.00    0.00    0.00    11  python3
12:03:11 AM     0         -   2486329    0.00    0.00    0.00    0.00    0.00    11  |__python3
12:03:12 AM     0   2486329         -    0.00    0.00    0.00    0.00    0.00    11  python3
12:03:12 AM     0         -   2486329    0.00    0.00    0.00    0.00    0.00    11  |__python3
12:03:13 AM     0   2486329         -    0.00    0.00    0.00    0.00    0.00    11  python3
12:03:13 AM     0         -   2486329    0.00    0.00    0.00    0.00    0.00    11  |__python3
12:03:14 AM     0   2486329         -    0.00    0.00    0.00    0.00    0.00    11  python3
12:03:14 AM     0         -   2486329    0.00    0.00    0.00    0.00    0.00    11  |__python3
12:03:15 AM     0   2486329         -    1.00    0.00    0.00    0.00    1.00     5  python3
12:03:15 AM     0         -   2486329    1.00    0.00    0.00    0.00    1.00     5  |__python3
12:03:16 AM     0   2486329         -    6.00    2.00    0.00    1.00    8.00     8  python3
12:03:16 AM     0         -   2486329    6.00    2.00    0.00    1.00    8.00     8  |__python3
12:03:17 AM     0   2486329         -   10.00    3.00    0.00   10.00   13.00     7  python3
12:03:17 AM     0         -   2486329   10.00    3.00    0.00   10.00   13.00     7  |__python3
12:03:18 AM     0   2486329         -    7.00    3.00    0.00    3.00   10.00     5  python3
12:03:18 AM     0         -   2486329    7.00    3.00    0.00    3.00   10.00     5  |__python3
12:03:19 AM     0   2486329         -    6.00    3.00    0.00    8.00    9.00     6  python3
12:03:19 AM     0         -   2486329    6.00    3.00    0.00    8.00    9.00     6  |__python3
12:03:20 AM     0   2486329         -    8.00    2.00    0.00    4.00   10.00     6  python3
12:03:20 AM     0         -   2486329    8.00    2.00    0.00    4.00   10.00     6  |__python3
12:03:21 AM     0   2486329         -   17.00    6.00    0.00    8.00   23.00     9  python3
12:03:21 AM     0         -   2486329   17.00    6.00    0.00    8.00   23.00     9  |__python3
12:03:22 AM     0   2486329         -    8.00    3.00    0.00   10.00   11.00     7  python3
12:03:22 AM     0         -   2486329    8.00    3.00    0.00   10.00   11.00     7  |__python3
12:03:23 AM     0   2486329         -    5.00    1.00    0.00    5.00    6.00     2  python3
12:03:23 AM     0         -   2486329    5.00    1.00    0.00    5.00    6.00     2  |__python3
12:03:24 AM     0   2486329         -   10.00    2.00    0.00   11.00   12.00     0  python3
12:03:24 AM     0         -   2486329   10.00    2.00    0.00   11.00   12.00     0  |__python3
12:03:25 AM     0   2486329         -    8.00    4.00    0.00    9.00   12.00     3  python3
12:03:25 AM     0         -   2486329    8.00    4.00    0.00    9.00   12.00     3  |__python3
12:03:26 AM     0   2486329         -    8.00    2.00    0.00    6.00   10.00    14  python3
12:03:26 AM     0         -   2486329    8.00    2.00    0.00    6.00   10.00    14  |__python3
12:03:27 AM     0   2486329         -    6.00    2.00    0.00    9.00    8.00     9  python3
12:03:27 AM     0         -   2486329    6.00    2.00    0.00    9.00    8.00     9  |__python3
12:03:28 AM     0   2486329         -    7.00    3.00    0.00   16.00   10.00    10  python3
12:03:28 AM     0         -   2486329    7.00    3.00    0.00   16.00   10.00    10  |__python3
12:03:29 AM     0   2486329         -   13.00    3.00    0.00   12.00   16.00     6  python3
12:03:29 AM     0         -   2486329   13.00    3.00    0.00   12.00   16.00     6  |__python3
12:03:30 AM     0   2486329         -    4.95    1.98    0.00   10.89    6.93    10  python3
12:03:30 AM     0         -   2486329    4.95    1.98    0.00   10.89    6.93    10  |__python3
12:03:31 AM     0   2486329         -    8.00    3.00    0.00   11.00   11.00     0  python3
12:03:31 AM     0         -   2486329    8.00    3.00    0.00   11.00   11.00     0  |__python3
12:03:32 AM     0   2486329         -   14.00    3.00    0.00   14.00   17.00    11  python3
12:03:32 AM     0         -   2486329   14.00    3.00    0.00   14.00   17.00    11  |__python3
12:03:33 AM     0   2486329         -   26.00    7.00    0.00   10.00   33.00     7  python3
12:03:33 AM     0         -   2486329   26.00    7.00    0.00   10.00   33.00     7  |__python3
12:03:34 AM     0   2486329         -   14.00    5.00    0.00   11.00   19.00     3  python3
12:03:34 AM     0         -   2486329   14.00    5.00    0.00   11.00   19.00     3  |__python3
12:03:35 AM     0   2486329         -    0.00    0.00    0.00    0.00    0.00     3  python3
12:03:35 AM     0         -   2486329    0.00    0.00    0.00    0.00    0.00     3  |__python3
12:03:36 AM     0   2486329         -    0.00    0.00    0.00    0.00    0.00     3  python3
12:03:36 AM     0         -   2486329    0.00    0.00    0.00    0.00    0.00     3  |__python3

Average:        0   2486329         -    6.44    2.03    0.00    5.82    8.48     -  python3
Average:        0         -   2486329    6.44    2.03    0.00    5.82    8.48     -  |__python3
