Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:20:28 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:20:29 AM     0   2513161         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:20:29 AM     0         -   2513161    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:20:30 AM     0   2513161         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:20:30 AM     0         -   2513161    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:20:31 AM     0   2513161         -    0.00    0.00    0.00    0.00    0.00     2  python3
12:20:31 AM     0         -   2513161    0.00    0.00    0.00    0.00    0.00     2  |__python3
12:20:32 AM     0   2513161         -    0.00    0.00    0.00    0.00    0.00     9  python3
12:20:32 AM     0         -   2513161    0.00    0.00    0.00    0.00    0.00     9  |__python3
12:20:33 AM     0   2513161         -    1.00    0.00    0.00    0.00    1.00    10  python3
12:20:33 AM     0         -   2513161    1.00    0.00    0.00    0.00    1.00    10  |__python3
12:20:34 AM     0   2513161         -    0.00    0.00    0.00    0.00    0.00    12  python3
12:20:34 AM     0         -   2513161    0.00    0.00    0.00    0.00    0.00    12  |__python3
12:20:35 AM     0   2513161         -    0.00    1.00    0.00    0.00    1.00     1  python3
12:20:35 AM     0         -   2513161    0.00    1.00    0.00    0.00    1.00     1  |__python3
12:20:36 AM     0   2513161         -    6.00    4.00    0.00    6.00   10.00     7  python3
12:20:36 AM     0         -   2513161    6.00    4.00    0.00    6.00   10.00     7  |__python3
12:20:37 AM     0   2513161         -   19.00   13.00    0.00   12.00   32.00     8  python3
12:20:37 AM     0         -   2513161   19.00   13.00    0.00   12.00   32.00     8  |__python3
12:20:38 AM     0   2513161         -   17.00   12.00    0.00   13.00   29.00     1  python3
12:20:38 AM     0         -   2513161   17.00   12.00    0.00   13.00   29.00     1  |__python3
12:20:39 AM     0   2513161         -   21.00   12.00    0.00   12.00   33.00    15  python3
12:20:39 AM     0         -   2513161   21.00   12.00    0.00   12.00   33.00     0  |__python3
12:20:40 AM     0   2513161         -   23.00   14.00    0.00   10.00   37.00    15  python3
12:20:40 AM     0         -   2513161   23.00   14.00    0.00   10.00   37.00    15  |__python3
12:20:41 AM     0   2513161         -   22.00   15.00    0.00   10.00   37.00     3  python3
12:20:41 AM     0         -   2513161   22.00   15.00    0.00   10.00   37.00     3  |__python3
12:20:42 AM     0   2513161         -   18.00   11.00    0.00   12.00   29.00    12  python3
12:20:42 AM     0         -   2513161   18.00   11.00    0.00   12.00   29.00    12  |__python3
12:20:43 AM     0   2513161         -   23.00   17.00    0.00    9.00   40.00    13  python3
12:20:43 AM     0         -   2513161   23.00   17.00    0.00    9.00   40.00    13  |__python3
12:20:44 AM     0   2513161         -   21.00   14.00    0.00   11.00   35.00     0  python3
12:20:44 AM     0         -   2513161   21.00   14.00    0.00   11.00   35.00     0  |__python3
12:20:45 AM     0   2513161         -   21.00   15.00    0.00   10.00   36.00     5  python3
12:20:45 AM     0         -   2513161   21.00   15.00    0.00   10.00   36.00     5  |__python3
12:20:46 AM     0   2513161         -   18.00    9.00    0.00   14.00   27.00    10  python3
12:20:46 AM     0         -   2513161   18.00    9.00    0.00   14.00   27.00    10  |__python3
12:20:47 AM     0   2513161         -   26.00   20.00    0.00    7.00   46.00     0  python3
12:20:47 AM     0         -   2513161   26.00   20.00    0.00    7.00   46.00     0  |__python3
12:20:48 AM     0   2513161         -   17.00   12.00    0.00   22.00   29.00    10  python3
12:20:48 AM     0         -   2513161   17.00   12.00    0.00   22.00   29.00    10  |__python3
12:20:49 AM     0   2513161         -   23.00   15.00    0.00   27.00   38.00     6  python3
12:20:49 AM     0         -   2513161   23.00   15.00    0.00   27.00   38.00     6  |__python3
12:20:50 AM     0   2513161         -   24.00   23.00    0.00   16.00   47.00     3  python3
12:20:50 AM     0         -   2513161   24.00   23.00    0.00   16.00   47.00     3  |__python3
12:20:51 AM     0   2513161         -   21.00   10.00    0.00   28.00   31.00    15  python3
12:20:51 AM     0         -   2513161   21.00   10.00    0.00   28.00   31.00    15  |__python3
12:20:52 AM     0   2513161         -   21.00   10.00    0.00   27.00   31.00    15  python3
12:20:52 AM     0         -   2513161   21.00   10.00    0.00   27.00   31.00    15  |__python3
12:20:53 AM     0   2513161         -   31.00   25.00    0.00    6.00   56.00     2  python3
12:20:53 AM     0         -   2513161   31.00   25.00    0.00    6.00   56.00     2  |__python3
12:20:54 AM     0   2513161         -   15.00   11.00    0.00   16.00   26.00    10  python3
12:20:54 AM     0         -   2513161   15.00   11.00    0.00   16.00   26.00    10  |__python3
12:20:55 AM     0   2513161         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:20:55 AM     0         -   2513161    0.00    0.00    0.00    0.00    0.00    10  |__python3
12:20:56 AM     0   2513161         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:20:56 AM     0         -   2513161    0.00    0.00    0.00    0.00    0.00    10  |__python3
12:20:57 AM     0   2513161         -    0.00    0.00    0.00    0.00    0.00    10  python3
12:20:57 AM     0         -   2513161    0.00    0.00    0.00    0.00    0.00    10  |__python3

Average:        0   2513161         -   13.38    9.07    0.00    9.24   22.45     -  python3
Average:        0         -   2513161   13.38    9.07    0.00    9.24   22.45     -  |__python3
