Linux 5.14.0-427.el9.x86_64 (centos) 	09/23/2024 	_x86_64_	(16 CPU)

11:57:59 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:58:00 PM     0   2477041         -    0.00    0.00    0.00    0.00    0.00     6  python3
11:58:00 PM     0         -   2477041    0.00    0.00    0.00    0.00    0.00     6  |__python3
11:58:01 PM     0   2477041         -    0.00    0.00    0.00    0.00    0.00     6  python3
11:58:01 PM     0         -   2477041    0.00    0.00    0.00    0.00    0.00     6  |__python3
11:58:02 PM     0   2477041         -    0.00    0.00    0.00    0.00    0.00     6  python3
11:58:02 PM     0         -   2477041    0.00    0.00    0.00    0.00    0.00     6  |__python3
11:58:03 PM     0   2477041         -    0.00    0.00    0.00    0.00    0.00     6  python3
11:58:03 PM     0         -   2477041    0.00    0.00    0.00    0.00    0.00     6  |__python3
11:58:04 PM     0   2477041         -    0.00    0.00    0.00    0.00    0.00     6  python3
11:58:04 PM     0         -   2477041    0.00    0.00    0.00    0.00    0.00     6  |__python3
11:58:05 PM     0   2477041         -    0.00    0.00    0.00    0.00    0.00     6  python3
11:58:05 PM     0         -   2477041    0.00    0.00    0.00    0.00    0.00     6  |__python3
11:58:06 PM     0   2477041         -    4.00    1.00    0.00    1.00    5.00     3  python3
11:58:06 PM     0         -   2477041    4.00    1.00    0.00    1.00    5.00     3  |__python3
11:58:07 PM     0   2477041         -    7.00    2.00    0.00    4.00    9.00     1  python3
11:58:07 PM     0         -   2477041    7.00    2.00    0.00    4.00    9.00     1  |__python3
11:58:08 PM     0   2477041         -    8.00    4.00    0.00    8.00   12.00     6  python3
11:58:08 PM     0         -   2477041    8.00    4.00    0.00    8.00   12.00     6  |__python3
11:58:09 PM     0   2477041         -    6.00    2.00    0.00    5.00    8.00    10  python3
11:58:09 PM     0         -   2477041    6.00    2.00    0.00    5.00    8.00    10  |__python3
11:58:10 PM     0   2477041         -   10.00    3.00    0.00    3.00   13.00     0  python3
11:58:10 PM     0         -   2477041   10.00    3.00    0.00    3.00   13.00     0  |__python3
11:58:11 PM     0   2477041         -   12.00    5.00    0.00   11.00   17.00    14  python3
11:58:11 PM     0         -   2477041   12.00    5.00    0.00   11.00   17.00    14  |__python3
11:58:12 PM     0   2477041         -    6.00    2.00    0.00    7.00    8.00    15  python3
11:58:12 PM     0         -   2477041    6.00    2.00    0.00    7.00    8.00    15  |__python3
11:58:13 PM     0   2477041         -    6.00    2.00    0.00    5.00    8.00    15  python3
11:58:13 PM     0         -   2477041    6.00    2.00    0.00    5.00    8.00    15  |__python3
11:58:14 PM     0   2477041         -   10.00    3.00    0.00    7.00   13.00    13  python3
11:58:14 PM     0         -   2477041   10.00    3.00    0.00    7.00   13.00    13  |__python3
11:58:15 PM     0   2477041         -   10.00    3.00    0.00    6.00   13.00    14  python3
11:58:15 PM     0         -   2477041   10.00    3.00    0.00    6.00   13.00    14  |__python3
11:58:16 PM     0   2477041         -   11.00    6.00    0.00   14.00   17.00    15  python3
11:58:16 PM     0         -   2477041   11.00    6.00    0.00   14.00   17.00    15  |__python3
11:58:17 PM     0   2477041         -    5.00    2.00    0.00    7.00    7.00    15  python3
11:58:17 PM     0         -   2477041    5.00    2.00    0.00    7.00    7.00    15  |__python3
11:58:18 PM     0   2477041         -    3.00    0.00    0.00    2.00    3.00    12  python3
11:58:18 PM     0         -   2477041    3.00    0.00    0.00    2.00    3.00    12  |__python3
11:58:19 PM     0   2477041         -   10.00    4.00    0.00   12.00   14.00     0  python3
11:58:19 PM     0         -   2477041   10.00    4.00    0.00   12.00   14.00     0  |__python3
11:58:20 PM     0   2477041         -   13.00    4.00    0.00   11.00   17.00     4  python3
11:58:20 PM     0         -   2477041   13.00    4.00    0.00   11.00   17.00     4  |__python3
11:58:21 PM     0   2477041         -    7.00    3.00    0.00   12.00   10.00    13  python3
11:58:21 PM     0         -   2477041    7.00    3.00    0.00   12.00   10.00    13  |__python3
11:58:22 PM     0   2477041         -   10.00    2.00    0.00   10.00   12.00    15  python3
11:58:22 PM     0         -   2477041   10.00    2.00    0.00   10.00   12.00    15  |__python3
11:58:23 PM     0   2477041         -   16.00    5.00    0.00   21.00   21.00     0  python3
11:58:23 PM     0         -   2477041   16.00    5.00    0.00   21.00   21.00     0  |__python3
11:58:24 PM     0   2477041         -   19.00    5.00    0.00   20.00   24.00     5  python3
11:58:24 PM     0         -   2477041   19.00    5.00    0.00   20.00   24.00     5  |__python3
11:58:25 PM     0   2477041         -   11.00    4.00    0.00   16.00   15.00     1  python3
11:58:25 PM     0         -   2477041   11.00    4.00    0.00   16.00   15.00     1  |__python3
11:58:26 PM     0   2477041         -    8.00    3.00    0.00   10.00   11.00     5  python3
11:58:26 PM     0         -   2477041    8.00    3.00    0.00   10.00   11.00     5  |__python3
11:58:27 PM     0   2477041         -    1.00    0.00    0.00    2.00    1.00     0  python3
11:58:27 PM     0         -   2477041    1.00    0.00    0.00    2.00    1.00     0  |__python3
11:58:28 PM     0   2477041         -    0.00    0.00    0.00    0.00    0.00     0  python3
11:58:28 PM     0         -   2477041    0.00    0.00    0.00    0.00    0.00     0  |__python3
11:58:29 PM     0   2477041         -    0.00    0.00    0.00    0.00    0.00     0  python3
11:58:29 PM     0         -   2477041    0.00    0.00    0.00    0.00    0.00     0  |__python3

Average:        0   2477041         -    6.43    2.17    0.00    6.47    8.60     -  python3
Average:        0         -   2477041    6.43    2.17    0.00    6.47    8.60     -  |__python3
