Linux 5.14.0-427.el9.x86_64 (centos) 	09/24/2024 	_x86_64_	(16 CPU)

12:08:26 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:08:27 AM     0   2494067         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:08:27 AM     0         -   2494067    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:08:28 AM     0   2494067         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:08:28 AM     0         -   2494067    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:08:29 AM     0   2494067         -    0.00    0.00    0.00    0.00    0.00     1  python3
12:08:29 AM     0         -   2494067    0.00    0.00    0.00    0.00    0.00     1  |__python3
12:08:30 AM     0   2494067         -    1.00    0.00    0.00    0.00    1.00    15  python3
12:08:30 AM     0         -   2494067    1.00    0.00    0.00    0.00    1.00    15  |__python3
12:08:31 AM     0   2494067         -    6.00    2.00    0.00    1.00    8.00     2  python3
12:08:31 AM     0         -   2494067    6.00    2.00    0.00    1.00    8.00     2  |__python3
12:08:32 AM     0   2494067         -    6.00    2.00    0.00    3.00    8.00     9  python3
12:08:32 AM     0         -   2494067    6.00    2.00    0.00    3.00    8.00     9  |__python3
12:08:33 AM     0   2494067         -    5.00    2.00    0.00    2.00    7.00    13  python3
12:08:33 AM     0         -   2494067    5.00    2.00    0.00    2.00    7.00    13  |__python3
12:08:34 AM     0   2494067         -    8.00    4.00    0.00    5.00   12.00    15  python3
12:08:34 AM     0         -   2494067    8.00    4.00    0.00    5.00   12.00    15  |__python3
12:08:35 AM     0   2494067         -    3.00    2.00    0.00    3.00    5.00    15  python3
12:08:35 AM     0         -   2494067    3.00    2.00    0.00    3.00    5.00    15  |__python3
12:08:36 AM     0   2494067         -    6.00    2.00    0.00    3.00    8.00     6  python3
12:08:36 AM     0         -   2494067    6.00    2.00    0.00    3.00    8.00     6  |__python3
12:08:37 AM     0   2494067         -    8.00    1.00    0.00    5.00    9.00    14  python3
12:08:37 AM     0         -   2494067    8.00    1.00    0.00    5.00    9.00    14  |__python3
12:08:38 AM     0   2494067         -   10.00    4.00    0.00    9.00   14.00     7  python3
12:08:38 AM     0         -   2494067   10.00    4.00    0.00    9.00   14.00     7  |__python3
12:08:39 AM     0   2494067         -   10.00    3.00    0.00   11.00   13.00     8  python3
12:08:39 AM     0         -   2494067   10.00    3.00    0.00   11.00   13.00     8  |__python3
12:08:40 AM     0   2494067         -    6.00    1.00    0.00    5.00    7.00    11  python3
12:08:40 AM     0         -   2494067    6.00    1.00    0.00    5.00    7.00    11  |__python3
12:08:41 AM     0   2494067         -   11.88    3.96    0.00   10.89   15.84     8  python3
12:08:41 AM     0         -   2494067   11.88    3.96    0.00   10.89   15.84     8  |__python3
12:08:42 AM     0   2494067         -    9.00    2.00    0.00    7.00   11.00    13  python3
12:08:42 AM     0         -   2494067    9.00    2.00    0.00    7.00   11.00    13  |__python3
12:08:43 AM     0   2494067         -    7.00    3.00    0.00   15.00   10.00     5  python3
12:08:43 AM     0         -   2494067    7.00    3.00    0.00   15.00   10.00     5  |__python3
12:08:44 AM     0   2494067         -   10.00    3.00    0.00   15.00   13.00     1  python3
12:08:44 AM     0         -   2494067   10.00    3.00    0.00   15.00   13.00     1  |__python3
12:08:45 AM     0   2494067         -   18.00    5.00    0.00   10.00   23.00     5  python3
12:08:45 AM     0         -   2494067   18.00    5.00    0.00   10.00   23.00     5  |__python3
12:08:46 AM     0   2494067         -    8.00    2.00    0.00   10.00   10.00     6  python3
12:08:46 AM     0         -   2494067    8.00    2.00    0.00   10.00   10.00     6  |__python3
12:08:47 AM     0   2494067         -    5.00    2.00    0.00   12.00    7.00     3  python3
12:08:47 AM     0         -   2494067    5.00    2.00    0.00   12.00    7.00     3  |__python3
12:08:48 AM     0   2494067         -    8.00    2.00    0.00   11.00   10.00     1  python3
12:08:48 AM     0         -   2494067    8.00    2.00    0.00   11.00   10.00     1  |__python3
12:08:49 AM     0   2494067         -    6.00    2.00    0.00   14.00    8.00     3  python3
12:08:49 AM     0         -   2494067    6.00    2.00    0.00   14.00    8.00     3  |__python3
12:08:50 AM     0   2494067         -   18.00    6.00    0.00   14.00   24.00    11  python3
12:08:50 AM     0         -   2494067   18.00    6.00    0.00   14.00   24.00    11  |__python3
12:08:51 AM     0   2494067         -   11.00    5.00    0.00   16.00   16.00    14  python3
12:08:51 AM     0         -   2494067   11.00    5.00    0.00   16.00   16.00    14  |__python3
12:08:52 AM     0   2494067         -   12.00    4.00    0.00   17.00   16.00    15  python3
12:08:52 AM     0         -   2494067   12.00    4.00    0.00   17.00   16.00    15  |__python3
12:08:53 AM     0   2494067         -   12.00    1.00    0.00    1.00   13.00     7  python3
12:08:53 AM     0         -   2494067   12.00    1.00    0.00    1.00   13.00     7  |__python3
12:08:54 AM     0   2494067         -    0.00    0.00    0.00    0.00    0.00     7  python3
12:08:54 AM     0         -   2494067    0.00    0.00    0.00    0.00    0.00     7  |__python3
12:08:55 AM     0   2494067         -    0.00    0.00    0.00    0.00    0.00     7  python3
12:08:55 AM     0         -   2494067    0.00    0.00    0.00    0.00    0.00     7  |__python3

Average:        0   2494067         -    7.07    2.21    0.00    6.89    9.27     -  python3
Average:        0         -   2494067    7.07    2.21    0.00    6.89    9.27     -  |__python3
